id,account_id,accrual_date,amount
a_0_0_bal_36,a_0_0,2020-01-29,9934261.0
a_0_0_bal_37,a_0_0,2020-01-30,9933465.0
a_0_0_bal_38,a_0_0,2020-01-31,9932910.0
a_0_0_bal_39,a_0_0,2020-02-01,9932172.0
a_0_0_bal_40,a_0_0,2020-02-02,9931329.0
a_0_0_bal_41,a_0_0,2020-02-03,9930899.0
a_0_0_bal_42,a_0_0,2020-02-04,9930349.0
a_0_0_bal_43,a_0_0,2020-02-05,9929753.0
a_0_0_bal_44,a_0_0,2020-02-06,9929352.0
a_0_0_bal_45,a_0_0,2020-02-07,9929175.0
a_0_0_bal_46,a_0_0,2020-02-08,9928301.0
a_0_0_bal_47,a_0_0,2020-02-09,9927299.0
a_0_0_bal_48,a_0_0,2020-02-10,9926422.0
a_0_0_bal_49,a_0_0,2020-02-11,9925875.0
a_0_0_bal_50,a_0_0,2020-02-12,9925165.0
a_0_0_bal_51,a_0_0,2020-02-13,9924255.0
a_0_0_bal_52,a_0_0,2020-02-14,9923417.0
a_0_0_bal_53,a_0_0,2020-02-15,9923040.0
a_0_0_bal_54,a_0_0,2020-02-16,9923376.0
a_0_0_bal_55,a_0_0,2020-02-17,9922707.0
a_0_0_bal_56,a_0_0,2020-02-18,9922071.0
a_0_0_bal_57,a_0_0,2020-02-19,9921563.0
a_0_0_bal_58,a_0_0,2020-02-20,9920408.0
a_0_0_bal_59,a_0_0,2020-02-21,9919503.0
a_0_0_bal_60,a_0_0,2020-02-22,9918770.0
a_0_0_bal_61,a_0_0,2020-02-23,9917958.0
a_0_0_bal_62,a_0_0,2020-02-24,9917363.0
a_0_0_bal_63,a_0_0,2020-02-25,9916325.0
a_0_0_bal_64,a_0_0,2020-02-26,9915783.0
a_0_0_bal_65,a_0_0,2020-02-27,9915359.0
a_0_0_bal_66,a_0_0,2020-02-28,9915146.0
a_0_0_bal_67,a_0_0,2020-02-29,9914365.0
a_0_0_bal_68,a_0_0,2020-03-01,9913739.0
a_0_0_bal_69,a_0_0,2020-03-02,9912657.0
a_0_0_bal_70,a_0_0,2020-03-03,9912397.0
a_0_0_bal_71,a_0_0,2020-03-04,9912403.0
a_0_0_bal_72,a_0_0,2020-03-05,9911336.0
a_0_0_bal_73,a_0_0,2020-03-06,9911069.0
a_0_0_bal_74,a_0_0,2020-03-07,9910366.0
a_0_0_bal_75,a_0_0,2020-03-08,9909486.0
a_0_0_bal_76,a_0_0,2020-03-09,9909554.0
a_0_0_bal_77,a_0_0,2020-03-10,9909898.0
a_0_0_bal_78,a_0_0,2020-03-11,9908828.0
a_0_0_bal_79,a_0_0,2020-03-12,9908544.0
a_0_0_bal_80,a_0_0,2020-03-13,9907718.0
a_0_0_bal_81,a_0_0,2020-03-14,9907201.0
a_0_0_bal_82,a_0_0,2020-03-15,9905950.0
a_0_0_bal_83,a_0_0,2020-03-16,9905473.0
a_0_0_bal_84,a_0_0,2020-03-17,9904256.0
a_0_0_bal_85,a_0_0,2020-03-18,9903491.0
a_0_0_bal_86,a_0_0,2020-03-19,9902876.0
a_0_0_bal_87,a_0_0,2020-03-20,9902416.0
a_0_0_bal_88,a_0_0,2020-03-21,9901917.0
a_0_0_bal_89,a_0_0,2020-03-22,9901067.0
a_0_0_bal_90,a_0_0,2020-03-23,9900391.0
a_0_0_bal_91,a_0_0,2020-03-24,9899744.0
a_0_0_bal_92,a_0_0,2020-03-25,9899216.0
a_0_0_bal_93,a_0_0,2020-03-26,9898765.0
a_0_0_bal_94,a_0_0,2020-03-27,9897967.0
a_0_0_bal_95,a_0_0,2020-03-28,9897212.0
a_0_0_bal_96,a_0_0,2020-03-29,9895703.0
a_0_0_bal_97,a_0_0,2020-03-30,9894683.0
a_0_0_bal_98,a_0_0,2020-03-31,9894324.0
a_0_0_bal_99,a_0_0,2020-04-01,9893297.0
a_0_0_bal_100,a_0_0,2020-04-02,9892644.0
a_0_0_bal_101,a_0_0,2020-04-03,9891615.0
a_0_0_bal_102,a_0_0,2020-04-04,9890701.0
a_0_0_bal_103,a_0_0,2020-04-05,9889720.0
a_0_0_bal_104,a_0_0,2020-04-06,9889131.0
a_0_0_bal_105,a_0_0,2020-04-07,9888615.0
a_0_0_bal_106,a_0_0,2020-04-08,9888221.0
a_0_0_bal_107,a_0_0,2020-04-09,9887687.0
a_0_0_bal_108,a_0_0,2020-04-10,9887130.0
a_0_0_bal_109,a_0_0,2020-04-11,9886761.0
a_0_0_bal_110,a_0_0,2020-04-12,9885861.0
a_0_0_bal_111,a_0_0,2020-04-13,9884832.0
a_0_0_bal_112,a_0_0,2020-04-14,9884197.0
a_0_0_bal_113,a_0_0,2020-04-15,9883693.0
a_0_0_bal_114,a_0_0,2020-04-16,9882851.0
a_0_0_bal_115,a_0_0,2020-04-17,9882053.0
a_0_0_bal_116,a_0_0,2020-04-18,9881086.0
a_0_0_bal_117,a_0_0,2020-04-19,9880509.0
a_0_0_bal_118,a_0_0,2020-04-20,9880500.0
a_0_0_bal_119,a_0_0,2020-04-21,9880207.0
a_0_0_bal_120,a_0_0,2020-04-22,9879656.0
a_0_0_bal_121,a_0_0,2020-04-23,9879267.0
a_0_0_bal_122,a_0_0,2020-04-24,9878257.0
a_0_0_bal_123,a_0_0,2020-04-25,9877381.0
a_0_0_bal_124,a_0_0,2020-04-26,9876474.0
a_0_0_bal_125,a_0_0,2020-04-27,9876341.0
a_0_0_bal_126,a_0_0,2020-04-28,9875327.0
a_0_0_bal_127,a_0_0,2020-04-29,9874398.0
a_0_0_bal_128,a_0_0,2020-04-30,9873286.0
a_0_0_bal_129,a_0_0,2020-05-01,9873075.0
a_0_0_bal_130,a_0_0,2020-05-02,9872091.0
a_0_0_bal_131,a_0_0,2020-05-03,9871938.0
a_0_0_bal_132,a_0_0,2020-05-04,9871506.0
a_0_0_bal_133,a_0_0,2020-05-05,9870761.0
a_0_0_bal_134,a_0_0,2020-05-06,9870372.0
a_0_0_bal_135,a_0_0,2020-05-07,9869536.0
a_0_0_bal_136,a_0_0,2020-05-08,9869104.0
a_0_0_bal_137,a_0_0,2020-05-09,9868839.0
a_0_0_bal_138,a_0_0,2020-05-10,9868354.0
a_0_0_bal_139,a_0_0,2020-05-11,9867784.0
a_0_0_bal_140,a_0_0,2020-05-12,9867191.0
a_0_0_bal_141,a_0_0,2020-05-13,9866866.0
a_0_0_bal_142,a_0_0,2020-05-14,9865825.0
a_0_0_bal_143,a_0_0,2020-05-15,9864804.0
a_0_0_bal_144,a_0_0,2020-05-16,9863989.0
a_0_0_bal_145,a_0_0,2020-05-17,9863341.0
a_0_0_bal_146,a_0_0,2020-05-18,9862683.0
a_0_0_bal_147,a_0_0,2020-05-19,9862185.0
a_0_0_bal_148,a_0_0,2020-05-20,9861577.0
a_0_0_bal_149,a_0_0,2020-05-21,9860513.0
a_0_0_bal_150,a_0_0,2020-05-22,9859492.0
a_0_0_bal_151,a_0_0,2020-05-23,9858826.0
a_0_0_bal_152,a_0_0,2020-05-24,9857924.0
a_0_0_bal_153,a_0_0,2020-05-25,9857417.0
a_0_0_bal_154,a_0_0,2020-05-26,9856776.0
a_0_0_bal_155,a_0_0,2020-05-27,9856019.0
a_0_0_bal_156,a_0_0,2020-05-28,9855261.0
a_0_0_bal_157,a_0_0,2020-05-29,9854855.0
a_0_0_bal_158,a_0_0,2020-05-30,9854511.0
a_0_0_bal_159,a_0_0,2020-05-31,9854221.0
a_0_0_bal_160,a_0_0,2020-06-01,9853806.0
a_0_0_bal_161,a_0_0,2020-06-02,9853557.0
a_0_0_bal_162,a_0_0,2020-06-03,9852919.0
a_0_0_bal_163,a_0_0,2020-06-04,9852139.0
a_0_0_bal_164,a_0_0,2020-06-05,9852113.0
a_0_0_bal_165,a_0_0,2020-06-06,9851739.0
a_0_0_bal_166,a_0_0,2020-06-07,9851109.0
a_0_0_bal_167,a_0_0,2020-06-08,9849902.0
a_0_0_bal_168,a_0_0,2020-06-09,9849248.0
a_0_0_bal_169,a_0_0,2020-06-10,9847982.0
a_0_0_bal_170,a_0_0,2020-06-11,9847572.0
a_0_0_bal_171,a_0_0,2020-06-12,9847658.0
a_0_0_bal_172,a_0_0,2020-06-13,9847546.0
a_0_0_bal_173,a_0_0,2020-06-14,9846607.0
a_0_0_bal_174,a_0_0,2020-06-15,9846482.0
a_0_0_bal_175,a_0_0,2020-06-16,9846123.0
a_0_0_bal_176,a_0_0,2020-06-17,9845735.0
a_0_0_bal_177,a_0_0,2020-06-18,9845335.0
a_0_0_bal_178,a_0_0,2020-06-19,9844981.0
a_0_0_bal_179,a_0_0,2020-06-20,9844822.0
a_0_0_bal_180,a_0_0,2020-06-21,9844448.0
a_0_0_bal_181,a_0_0,2020-06-22,9843987.0
a_0_0_bal_182,a_0_0,2020-06-23,9843569.0
a_0_0_bal_183,a_0_0,2020-06-24,9842463.0
a_0_0_bal_184,a_0_0,2020-06-25,9841777.0
a_0_0_bal_185,a_0_0,2020-06-26,9840959.0
a_0_0_bal_186,a_0_0,2020-06-27,9839991.0
a_0_0_bal_187,a_0_0,2020-06-28,9839607.0
a_0_0_bal_188,a_0_0,2020-06-29,9838783.0
a_0_0_bal_189,a_0_0,2020-06-30,9837826.0
a_0_0_bal_190,a_0_0,2020-07-01,9837234.0
a_0_0_bal_191,a_0_0,2020-07-02,9836495.0
a_0_0_bal_192,a_0_0,2020-07-03,9835969.0
a_0_0_bal_193,a_0_0,2020-07-04,9835367.0
a_0_0_bal_194,a_0_0,2020-07-05,9834748.0
a_0_0_bal_195,a_0_0,2020-07-06,9833850.0
a_0_0_bal_196,a_0_0,2020-07-07,9833338.0
a_0_0_bal_197,a_0_0,2020-07-08,9832764.0
a_0_0_bal_198,a_0_0,2020-07-09,9832159.0
a_0_0_bal_199,a_0_0,2020-07-10,9832333.0
a_0_0_bal_200,a_0_0,2020-07-11,9831490.0
a_0_0_bal_201,a_0_0,2020-07-12,9831253.0
a_0_0_bal_202,a_0_0,2020-07-13,9830902.0
a_0_0_bal_203,a_0_0,2020-07-14,9830782.0
a_0_0_bal_204,a_0_0,2020-07-15,9830174.0
a_0_0_bal_205,a_0_0,2020-07-16,9830036.0
a_0_0_bal_206,a_0_0,2020-07-17,9829472.0
a_0_0_bal_207,a_0_0,2020-07-18,9828881.0
a_0_0_bal_208,a_0_0,2020-07-19,9827690.0
a_0_0_bal_209,a_0_0,2020-07-20,9827392.0
a_0_0_bal_210,a_0_0,2020-07-21,9826597.0
a_0_0_bal_211,a_0_0,2020-07-22,9826188.0
a_0_0_bal_212,a_0_0,2020-07-23,9825432.0
a_0_0_bal_213,a_0_0,2020-07-24,9825304.0
a_0_0_bal_214,a_0_0,2020-07-25,9824564.0
a_0_0_bal_215,a_0_0,2020-07-26,9824260.0
a_0_0_bal_216,a_0_0,2020-07-27,9823991.0
a_0_0_bal_217,a_0_0,2020-07-28,9823462.0
a_0_0_bal_218,a_0_0,2020-07-29,9823382.0
a_0_0_bal_219,a_0_0,2020-07-30,9822875.0
a_0_0_bal_220,a_0_0,2020-07-31,9822141.0
a_0_0_bal_221,a_0_0,2020-08-01,9821343.0
a_0_0_bal_222,a_0_0,2020-08-02,9820972.0
a_0_0_bal_223,a_0_0,2020-08-03,9820670.0
a_0_0_bal_224,a_0_0,2020-08-04,9820673.0
a_0_0_bal_225,a_0_0,2020-08-05,9819996.0
a_0_0_bal_226,a_0_0,2020-08-06,9819565.0
a_0_0_bal_227,a_0_0,2020-08-07,9818942.0
a_0_0_bal_228,a_0_0,2020-08-08,9818555.0
a_0_0_bal_229,a_0_0,2020-08-09,9817642.0
a_0_0_bal_230,a_0_0,2020-08-10,9817292.0
a_0_0_bal_231,a_0_0,2020-08-11,9816886.0
a_0_0_bal_232,a_0_0,2020-08-12,9816794.0
a_0_0_bal_233,a_0_0,2020-08-13,9816282.0
a_0_0_bal_234,a_0_0,2020-08-14,9815769.0
a_0_0_bal_235,a_0_0,2020-08-15,9815930.0
a_0_0_bal_236,a_0_0,2020-08-16,9814931.0
a_0_0_bal_237,a_0_0,2020-08-17,9814194.0
a_0_0_bal_238,a_0_0,2020-08-18,9814074.0
a_0_0_bal_239,a_0_0,2020-08-19,9813513.0
a_0_0_bal_240,a_0_0,2020-08-20,9813190.0
a_0_0_bal_241,a_0_0,2020-08-21,9812707.0
a_0_0_bal_242,a_0_0,2020-08-22,9812045.0
a_0_0_bal_243,a_0_0,2020-08-23,9810823.0
a_0_0_bal_244,a_0_0,2020-08-24,9810696.0
a_0_0_bal_245,a_0_0,2020-08-25,9809911.0
a_0_0_bal_246,a_0_0,2020-08-26,9809375.0
a_0_0_bal_247,a_0_0,2020-08-27,9808869.0
a_0_0_bal_248,a_0_0,2020-08-28,9808012.0
a_0_0_bal_249,a_0_0,2020-08-29,9807219.0
a_0_0_bal_250,a_0_0,2020-08-30,9806288.0
a_0_0_bal_251,a_0_0,2020-08-31,9805628.0
a_0_0_bal_252,a_0_0,2020-09-01,9805235.0
a_0_1_bal_253,a_0_1,2020-07-23,10095449.0
a_0_1_bal_254,a_0_1,2020-07-24,10094438.0
a_0_1_bal_255,a_0_1,2020-07-25,10093280.0
a_0_1_bal_256,a_0_1,2020-07-26,10091659.0
a_0_1_bal_257,a_0_1,2020-07-27,10090466.0
a_0_1_bal_258,a_0_1,2020-07-28,10089343.0
a_0_1_bal_259,a_0_1,2020-07-29,10087723.0
a_0_1_bal_260,a_0_1,2020-07-30,10087298.0
a_0_1_bal_261,a_0_1,2020-07-31,10085712.0
a_0_1_bal_262,a_0_1,2020-08-01,10084792.0
a_0_1_bal_263,a_0_1,2020-08-02,10084155.0
a_0_1_bal_264,a_0_1,2020-08-03,10082390.0
a_0_1_bal_265,a_0_1,2020-08-04,10080536.0
a_0_1_bal_266,a_0_1,2020-08-05,10079548.0
a_0_1_bal_267,a_0_1,2020-08-06,10078352.0
a_0_1_bal_268,a_0_1,2020-08-07,10077486.0
a_0_1_bal_269,a_0_1,2020-08-08,10075888.0
a_0_1_bal_270,a_0_1,2020-08-09,10076108.0
a_0_1_bal_271,a_0_1,2020-08-10,10074473.0
a_0_1_bal_272,a_0_1,2020-08-11,10072809.0
a_0_1_bal_273,a_0_1,2020-08-12,10071040.0
a_0_1_bal_274,a_0_1,2020-08-13,10070257.0
a_0_1_bal_275,a_0_1,2020-08-14,10069546.0
a_0_1_bal_276,a_0_1,2020-08-15,10068127.0
a_0_1_bal_277,a_0_1,2020-08-16,10067003.0
a_0_1_bal_278,a_0_1,2020-08-17,10065371.0
a_0_1_bal_279,a_0_1,2020-08-18,10063104.0
a_0_1_bal_280,a_0_1,2020-08-19,10061805.0
a_0_1_bal_281,a_0_1,2020-08-20,10059690.0
a_0_1_bal_282,a_0_1,2020-08-21,10057832.0
a_0_1_bal_283,a_0_1,2020-08-22,10056388.0
a_0_1_bal_284,a_0_1,2020-08-23,10055999.0
a_0_1_bal_285,a_0_1,2020-08-24,10055137.0
a_0_1_bal_286,a_0_1,2020-08-25,10053900.0
a_0_1_bal_287,a_0_1,2020-08-26,10052040.0
a_0_1_bal_288,a_0_1,2020-08-27,10050811.0
a_0_1_bal_289,a_0_1,2020-08-28,10049399.0
a_0_1_bal_290,a_0_1,2020-08-29,10048123.0
a_0_1_bal_291,a_0_1,2020-08-30,10047060.0
a_0_1_bal_292,a_0_1,2020-08-31,10046050.0
a_0_1_bal_293,a_0_1,2020-09-01,10044569.0
a_0_2_bal_294,a_0_2,2019-11-20,9973549.0
a_0_2_bal_295,a_0_2,2019-11-21,9969256.0
a_0_2_bal_296,a_0_2,2019-11-22,9964296.0
a_0_2_bal_297,a_0_2,2019-11-23,9959389.0
a_0_2_bal_298,a_0_2,2019-11-24,9954845.0
a_0_2_bal_299,a_0_2,2019-11-25,9950574.0
a_0_2_bal_300,a_0_2,2019-11-26,9945672.0
a_0_2_bal_301,a_0_2,2019-11-27,9942453.0
a_0_2_bal_302,a_0_2,2019-11-28,9937386.0
a_0_2_bal_303,a_0_2,2019-11-29,9932978.0
a_0_2_bal_304,a_0_2,2019-11-30,9926870.0
a_0_2_bal_305,a_0_2,2019-12-01,9923704.0
a_0_2_bal_306,a_0_2,2019-12-02,9919549.0
a_0_2_bal_307,a_0_2,2019-12-03,9915412.0
a_0_2_bal_308,a_0_2,2019-12-04,9911241.0
a_0_2_bal_309,a_0_2,2019-12-05,9905489.0
a_0_2_bal_310,a_0_2,2019-12-06,9901478.0
a_0_2_bal_311,a_0_2,2019-12-07,9895772.0
a_0_2_bal_312,a_0_2,2019-12-08,9890844.0
a_0_2_bal_313,a_0_2,2019-12-09,9886034.0
a_0_2_bal_314,a_0_2,2019-12-10,9881159.0
a_0_2_bal_315,a_0_2,2019-12-11,9875955.0
a_0_2_bal_316,a_0_2,2019-12-12,9872781.0
a_0_2_bal_317,a_0_2,2019-12-13,9866916.0
a_0_2_bal_318,a_0_2,2019-12-14,9861899.0
a_0_2_bal_319,a_0_2,2019-12-15,9857150.0
a_0_2_bal_320,a_0_2,2019-12-16,9853132.0
a_0_2_bal_321,a_0_2,2019-12-17,9847640.0
a_0_2_bal_322,a_0_2,2019-12-18,9844257.0
a_0_2_bal_323,a_0_2,2019-12-19,9839567.0
a_0_2_bal_324,a_0_2,2019-12-20,9836418.0
a_0_2_bal_325,a_0_2,2019-12-21,9831091.0
a_0_2_bal_326,a_0_2,2019-12-22,9825571.0
a_0_2_bal_327,a_0_2,2019-12-23,9820389.0
a_0_2_bal_328,a_0_2,2019-12-24,9815442.0
a_0_2_bal_329,a_0_2,2019-12-25,9810730.0
a_0_2_bal_330,a_0_2,2019-12-26,9807027.0
a_0_2_bal_331,a_0_2,2019-12-27,9803832.0
a_0_2_bal_332,a_0_2,2019-12-28,9798323.0
a_0_2_bal_333,a_0_2,2019-12-29,9792706.0
a_0_2_bal_334,a_0_2,2019-12-30,9788211.0
a_0_2_bal_335,a_0_2,2019-12-31,9784041.0
a_0_2_bal_336,a_0_2,2020-01-01,9779609.0
a_0_2_bal_337,a_0_2,2020-01-02,9773742.0
a_0_2_bal_338,a_0_2,2020-01-03,9769202.0
a_0_2_bal_339,a_0_2,2020-01-04,9764770.0
a_0_2_bal_340,a_0_2,2020-01-05,9759713.0
a_0_2_bal_341,a_0_2,2020-01-06,9753525.0
a_0_2_bal_342,a_0_2,2020-01-07,9747836.0
a_0_2_bal_343,a_0_2,2020-01-08,9741385.0
a_0_2_bal_344,a_0_2,2020-01-09,9735243.0
a_0_2_bal_345,a_0_2,2020-01-10,9730350.0
a_0_2_bal_346,a_0_2,2020-01-11,9726539.0
a_0_2_bal_347,a_0_2,2020-01-12,9722573.0
a_0_2_bal_348,a_0_2,2020-01-13,9716682.0
a_0_2_bal_349,a_0_2,2020-01-14,9712261.0
a_0_2_bal_350,a_0_2,2020-01-15,9707198.0
a_0_2_bal_351,a_0_2,2020-01-16,9701716.0
a_0_2_bal_352,a_0_2,2020-01-17,9695969.0
a_0_2_bal_353,a_0_2,2020-01-18,9691848.0
a_0_2_bal_354,a_0_2,2020-01-19,9686837.0
a_0_2_bal_355,a_0_2,2020-01-20,9683075.0
a_0_2_bal_356,a_0_2,2020-01-21,9677775.0
a_0_2_bal_357,a_0_2,2020-01-22,9673671.0
a_0_2_bal_358,a_0_2,2020-01-23,9668673.0
a_0_2_bal_359,a_0_2,2020-01-24,9664548.0
a_0_2_bal_360,a_0_2,2020-01-25,9659331.0
a_0_2_bal_361,a_0_2,2020-01-26,9653893.0
a_0_2_bal_362,a_0_2,2020-01-27,9650812.0
a_0_2_bal_363,a_0_2,2020-01-28,9646438.0
a_0_2_bal_364,a_0_2,2020-01-29,9640478.0
a_0_2_bal_365,a_0_2,2020-01-30,9635462.0
a_0_2_bal_366,a_0_2,2020-01-31,9630002.0
a_0_2_bal_367,a_0_2,2020-02-01,9624547.0
a_0_2_bal_368,a_0_2,2020-02-02,9619966.0
a_0_2_bal_369,a_0_2,2020-02-03,9616828.0
a_0_2_bal_370,a_0_2,2020-02-04,9610826.0
a_0_2_bal_371,a_0_2,2020-02-05,9607863.0
a_0_2_bal_372,a_0_2,2020-02-06,9603421.0
a_0_2_bal_373,a_0_2,2020-02-07,9597891.0
a_0_2_bal_374,a_0_2,2020-02-08,9592741.0
a_0_2_bal_375,a_0_2,2020-02-09,9588055.0
a_0_2_bal_376,a_0_2,2020-02-10,9584702.0
a_0_2_bal_377,a_0_2,2020-02-11,9578838.0
a_0_2_bal_378,a_0_2,2020-02-12,9573374.0
a_0_2_bal_379,a_0_2,2020-02-13,9568172.0
a_0_2_bal_380,a_0_2,2020-02-14,9563570.0
a_0_2_bal_381,a_0_2,2020-02-15,9559577.0
a_0_2_bal_382,a_0_2,2020-02-16,9554752.0
a_0_2_bal_383,a_0_2,2020-02-17,9550238.0
a_0_2_bal_384,a_0_2,2020-02-18,9545904.0
a_0_2_bal_385,a_0_2,2020-02-19,9539901.0
a_0_2_bal_386,a_0_2,2020-02-20,9535029.0
a_0_2_bal_387,a_0_2,2020-02-21,9529048.0
a_0_2_bal_388,a_0_2,2020-02-22,9523894.0
a_0_2_bal_389,a_0_2,2020-02-23,9518620.0
a_0_2_bal_390,a_0_2,2020-02-24,9513964.0
a_0_2_bal_391,a_0_2,2020-02-25,9509173.0
a_0_2_bal_392,a_0_2,2020-02-26,9503440.0
a_0_2_bal_393,a_0_2,2020-02-27,9498953.0
a_0_2_bal_394,a_0_2,2020-02-28,9494522.0
a_0_2_bal_395,a_0_2,2020-02-29,9488888.0
a_0_2_bal_396,a_0_2,2020-03-01,9484214.0
a_0_2_bal_397,a_0_2,2020-03-02,9478984.0
a_0_2_bal_398,a_0_2,2020-03-03,9473532.0
a_0_2_bal_399,a_0_2,2020-03-04,9469185.0
a_0_2_bal_400,a_0_2,2020-03-05,9462981.0
a_0_2_bal_401,a_0_2,2020-03-06,9458186.0
a_0_2_bal_402,a_0_2,2020-03-07,9454890.0
a_0_2_bal_403,a_0_2,2020-03-08,9450876.0
a_0_2_bal_404,a_0_2,2020-03-09,9446597.0
a_0_2_bal_405,a_0_2,2020-03-10,9441486.0
a_0_2_bal_406,a_0_2,2020-03-11,9436499.0
a_0_2_bal_407,a_0_2,2020-03-12,9431864.0
a_0_2_bal_408,a_0_2,2020-03-13,9428880.0
a_0_2_bal_409,a_0_2,2020-03-14,9424227.0
a_0_2_bal_410,a_0_2,2020-03-15,9419605.0
a_0_2_bal_411,a_0_2,2020-03-16,9415561.0
a_0_2_bal_412,a_0_2,2020-03-17,9410216.0
a_0_2_bal_413,a_0_2,2020-03-18,9403879.0
a_0_2_bal_414,a_0_2,2020-03-19,9401837.0
a_0_2_bal_415,a_0_2,2020-03-20,9396746.0
a_0_2_bal_416,a_0_2,2020-03-21,9391474.0
a_0_2_bal_417,a_0_2,2020-03-22,9387886.0
a_0_2_bal_418,a_0_2,2020-03-23,9382423.0
a_0_2_bal_419,a_0_2,2020-03-24,9376827.0
a_0_2_bal_420,a_0_2,2020-03-25,9372719.0
a_0_2_bal_421,a_0_2,2020-03-26,9366749.0
a_0_2_bal_422,a_0_2,2020-03-27,9361461.0
a_0_2_bal_423,a_0_2,2020-03-28,9357071.0
a_0_2_bal_424,a_0_2,2020-03-29,9352072.0
a_0_2_bal_425,a_0_2,2020-03-30,9346040.0
a_0_2_bal_426,a_0_2,2020-03-31,9342002.0
a_0_2_bal_427,a_0_2,2020-04-01,9335055.0
a_0_2_bal_428,a_0_2,2020-04-02,9330174.0
a_0_2_bal_429,a_0_2,2020-04-03,9326443.0
a_0_2_bal_430,a_0_2,2020-04-04,9321562.0
a_0_2_bal_431,a_0_2,2020-04-05,9318971.0
a_0_2_bal_432,a_0_2,2020-04-06,9314562.0
a_0_2_bal_433,a_0_2,2020-04-07,9311177.0
a_0_2_bal_434,a_0_2,2020-04-08,9304651.0
a_0_2_bal_435,a_0_2,2020-04-09,9300417.0
a_0_2_bal_436,a_0_2,2020-04-10,9295441.0
a_0_2_bal_437,a_0_2,2020-04-11,9290049.0
a_0_2_bal_438,a_0_2,2020-04-12,9286103.0
a_0_2_bal_439,a_0_2,2020-04-13,9280775.0
a_0_2_bal_440,a_0_2,2020-04-14,9275288.0
a_0_2_bal_441,a_0_2,2020-04-15,9270627.0
a_0_2_bal_442,a_0_2,2020-04-16,9265861.0
a_0_2_bal_443,a_0_2,2020-04-17,9261509.0
a_0_2_bal_444,a_0_2,2020-04-18,9256817.0
a_0_2_bal_445,a_0_2,2020-04-19,9252243.0
a_0_2_bal_446,a_0_2,2020-04-20,9246566.0
a_0_2_bal_447,a_0_2,2020-04-21,9240726.0
a_0_2_bal_448,a_0_2,2020-04-22,9236349.0
a_0_2_bal_449,a_0_2,2020-04-23,9231457.0
a_0_2_bal_450,a_0_2,2020-04-24,9226277.0
a_0_2_bal_451,a_0_2,2020-04-25,9222297.0
a_0_2_bal_452,a_0_2,2020-04-26,9218041.0
a_0_2_bal_453,a_0_2,2020-04-27,9214447.0
a_0_2_bal_454,a_0_2,2020-04-28,9209777.0
a_0_2_bal_455,a_0_2,2020-04-29,9205273.0
a_0_2_bal_456,a_0_2,2020-04-30,9200689.0
a_0_2_bal_457,a_0_2,2020-05-01,9195471.0
a_0_2_bal_458,a_0_2,2020-05-02,9190348.0
a_0_2_bal_459,a_0_2,2020-05-03,9184653.0
a_0_2_bal_460,a_0_2,2020-05-04,9180180.0
a_0_2_bal_461,a_0_2,2020-05-05,9176896.0
a_0_2_bal_462,a_0_2,2020-05-06,9170799.0
a_0_2_bal_463,a_0_2,2020-05-07,9167139.0
a_0_2_bal_464,a_0_2,2020-05-08,9163359.0
